SummitCode,AssociationName,RegionName,SummitName,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
4O/IC-001,Montenegro,Istok Crne Gore,Maja Rosit,19.8505,42.4795,10,3,43525,73050,1,44769,4O/SQ9MDF/P
4O/IC-006,Montenegro,Istok Crne Gore,Hajla,20.1388,42.7575,10,3,43525,73050,1,44450,4O/S55VN/P
4O/IC-012,Montenegro,Istok Crne Gore,Plana (Bandera),19.8863,42.6101,10,3,43525,73050,1,45116,4O/YU1CA/P
4O/IC-018,Montenegro,Istok Crne Gore,Maja Bors,19.9061,42.5077,8,3,43525,73050,2,44768,4O/SQ9NOT/P
4O/IC-025,Montenegro,Istok Crne Gore,Vaganica,20.0003,42.6892,8,3,43525,73050,1,45115,4O/YU1CA/P
4O/IC-029,Montenegro,Istok Crne Gore,Planinica,20.015,42.6824,8,3,43525,73050,1,45115,4O/YU1CA/P
4O/IC-034,Montenegro,Istok Crne Gore,Prijedolska glava,19.9357,42.7021,8,3,43525,73050,1,45116,4O/YU1CA/P
4O/IC-035,Montenegro,Istok Crne Gore,Ogorela glava,19.6238,42.8648,8,3,43525,73050,1,45557,4O/IN3EHQ/P
4O/IC-055,Montenegro,Istok Crne Gore,Å½ilindar,20.0122,43.0425,6,3,43525,73050,1,44719,4O/YU4MNO
4O/JC-001,Montenegro,Jug Crne Gore,ZubaÄki kabao,18.5442,42.569,8,3,43525,73050,1,44382,4O/YU4MNO/P
4O/JC-002,Montenegro,Jug Crne Gore,Å tirovnik,18.8187,42.3993,6,3,43525,73050,3,45351,4O/YU1CA/P
4O/JC-003,Montenegro,Jug Crne Gore,Subra,18.5381,42.5243,6,3,43525,73050,2,44790,4O/YU4MNO/P
4O/JC-004,Montenegro,Jug Crne Gore,Jezerski vrh,18.8376,42.4,6,3,43525,73050,22,45565,4O/S56LXN/P
4O/JC-005,Montenegro,Jug Crne Gore,Babljak,18.8202,42.3885,6,3,43525,73050,6,45566,4O/DJ2TG
4O/JC-006,Montenegro,Jug Crne Gore,Rumija,19.1888,42.1031,6,3,43525,73050,3,44772,4O/SQ9NOT/P
4O/JC-008,Montenegro,Jug Crne Gore,Odijevo,18.5289,42.5074,6,3,43525,73050,2,44790,4O/YU4MNO/P
4O/JC-009,Montenegro,Jug Crne Gore,TreÅ¡tenski vrh,18.8425,42.3722,6,3,43525,73050,6,45565,4O/DJ2TG
4O/JC-011,Montenegro,Jug Crne Gore,Ubaljski Kabao,18.5908,42.508,6,3,43525,73050,2,44791,4O/YU4MNO/P
4O/JC-012,Montenegro,Jug Crne Gore,Siljevik,18.5634,42.5021,6,3,43525,73050,3,44790,4O/YU4MNO/P
4O/JC-015,Montenegro,Jug Crne Gore,BaÅ¡tik,18.6149,42.5216,6,3,43525,73050,1,44791,4O/YU4MNO/P
4O/JC-016,Montenegro,Jug Crne Gore,LoÅ¡ka,19.1733,42.0648,6,3,43525,73050,3,44770,4O/SQ9NOT/P
4O/JC-018,Montenegro,Jug Crne Gore,Mrajanik,18.8003,42.4385,4,3,43525,73050,1,44680,4O/YU0W/P
4O/JC-025,Montenegro,Jug Crne Gore,Velji vrh,18.6803,42.5582,4,3,43525,73050,1,44382,4O/YU4MNO/P
4O/JC-033,Montenegro,Jug Crne Gore,Vrsuta,19.086,42.1537,4,3,43525,73050,6,45559,4O/IN3EHQ/P
4O/JC-055,Montenegro,Jug Crne Gore,Velji KosmaÄ,18.9328,42.2318,2,0,43525,73050,1,45507,4O/SQ9JTR/P
4O/JC-057,Montenegro,Jug Crne Gore,Ilijino brdo,18.7093,42.4984,2,0,43525,73050,1,44375,4O/YU4MNO/P
4O/JC-058,Montenegro,Jug Crne Gore,Ilino brdo,19.0099,42.2037,2,0,43525,73050,1,45151,4O/SQ9MDN/P
4O/JC-061,Montenegro,Jug Crne Gore,Rasovac,19.2382,42.0343,2,0,43525,73050,1,45125,4O/S57NJM/P
4O/JC-062,Montenegro,Jug Crne Gore,Devesilje,18.6182,42.4649,2,0,43525,73050,1,45563,4O/DJ2TG
4O/JC-063,Montenegro,Jug Crne Gore,Sveti Ilija,18.7313,42.4486,2,0,43525,73050,2,44676,4O/YU0W/P
4O/JC-065,Montenegro,Jug Crne Gore,Velji vrh,18.7133,42.4591,2,0,43525,73050,2,44676,4O/YU0W/P
4O/JC-072,Montenegro,Jug Crne Gore,Kobilica,19.2114,41.977,2,0,43525,73050,1,44464,4O4A/P
4O/JC-074,Montenegro,Jug Crne Gore,Obosnik,18.6108,42.4092,2,0,43525,73050,6,45361,4O/E73DX
4O/JC-077,Montenegro,Jug Crne Gore,Velji grad,19.015,42.1515,1,0,43525,73050,4,45509,4O/SQ9JTR/P
4O/JC-082,Montenegro,Jug Crne Gore,KomaraÅ¡tik,19.0722,42.2888,1,0,43525,73050,2,45095,4O/SP9PND/P
4O/JC-086,Montenegro,Jug Crne Gore,PrÄja glava,18.7362,42.3455,1,0,43525,73050,2,43701,4O/YO6PIB/P
4O/JC-089,Montenegro,Jug Crne Gore,Spas,18.823,42.2837,1,0,43525,73050,7,45512,4O/SQ9JTR/P
4O/JC-093,Montenegro,Jug Crne Gore,Velji vrh,19.1309,42.2745,1,0,43525,73050,1,45205,4O/SP3LRS/P
4O/JC-098,Montenegro,Jug Crne Gore,Stolovi,19.1894,42.3243,1,0,43525,73050,1,43631,4O/SQ9MDN/P
